Timestamp,DC Current (A)
2025-06-09 14:37:18,0.018593357
2025-06-09 14:37:21,0.018580218
2025-06-09 14:37:24,0.018566777
2025-06-09 14:37:27,0.018547043
2025-06-09 14:37:31,0.018500429
2025-06-09 14:37:34,0.018467907
2025-06-09 14:37:37,0.018436739
2025-06-09 14:37:40,0.018413871
2025-06-09 14:37:43,0.01839707
2025-06-09 14:37:46,0.018388269
2025-06-09 14:37:49,0.018378841
2025-06-09 14:37:52,0.018365627
2025-06-09 14:37:55,0.018376634
2025-06-09 14:37:59,0.018375105
2025-06-09 14:38:02,0.018372572
2025-06-09 14:38:05,0.018363596
2025-06-09 14:38:08,0.018348851
2025-06-09 14:38:11,0.018340878
2025-06-09 14:38:15,0.018336439
2025-06-09 14:38:18,0.018336515
2025-06-09 14:38:21,0.018340025
2025-06-09 14:38:24,0.018334659
2025-06-09 14:38:27,0.018327638
2025-06-09 14:38:30,0.018323576
2025-06-09 14:38:34,0.018322097
2025-06-09 14:38:37,0.018314449
2025-06-09 14:38:40,0.018308431
2025-06-09 14:38:43,0.018301084
2025-06-09 14:38:46,0.018295818
2025-06-09 14:38:50,0.01829489
2025-06-09 14:38:53,0.018292909
2025-06-09 14:38:56,0.018296846
2025-06-09 14:39:00,0.018291806
2025-06-09 14:39:03,0.018287694
2025-06-09 14:39:06,0.018286465
2025-06-09 14:39:09,0.018289023
2025-06-09 14:39:13,0.018288321
2025-06-09 14:39:16,0.018284785
2025-06-09 14:39:19,0.018278767
2025-06-09 14:39:22,0.018273827
2025-06-09 14:39:25,0.018273702
2025-06-09 14:39:28,0.018268863
2025-06-09 14:39:31,0.018269113
2025-06-09 14:39:34,0.018267609
2025-06-09 14:39:37,0.018266455
2025-06-09 14:39:40,0.018266631
2025-06-09 14:39:42,0.018267634
2025-06-09 14:39:45,0.018265929
2025-06-09 14:39:48,0.018266756
2025-06-09 14:39:51,0.0182648
2025-06-09 14:39:54,0.018264901
2025-06-09 14:39:57,0.0182648
2025-06-09 14:40:00,0.018264299
2025-06-09 14:40:03,0.018261491
2025-06-09 14:40:07,0.018262042
2025-06-09 14:40:10,0.018262945
2025-06-09 14:40:13,0.018262293
2025-06-09 14:40:16,0.018261741
2025-06-09 14:41:32,0.02565047
2025-06-09 14:41:35,0.025639312
2025-06-09 14:41:38,0.025629181
2025-06-09 14:41:41,0.025624242
2025-06-09 14:41:44,0.025622486
2025-06-09 14:41:47,0.025616494
2025-06-09 14:41:49,0.025611027
2025-06-09 14:41:52,0.025610275
2025-06-09 14:41:55,0.025606739
2025-06-09 14:41:58,0.025605285
2025-06-09 14:42:01,0.025606664
2025-06-09 14:42:04,0.025600972
2025-06-09 14:42:06,0.025601123
2025-06-09 14:42:09,0.025600621
2025-06-09 14:42:12,0.025599016
2025-06-09 14:42:15,0.025596709
2025-06-09 14:42:18,0.025594503
2025-06-09 14:42:21,0.025559298
2025-06-09 14:42:24,0.025580135
2025-06-09 14:57:12,0.019641212
2025-06-09 14:57:15,0.019617792
2025-06-09 14:57:18,0.019635795
2025-06-09 14:57:20,0.019617691
2025-06-09 14:57:23,0.019614306
2025-06-09 14:57:26,0.019583589
2025-06-09 14:57:29,0.01961057
2025-06-09 14:57:32,0.019568695
2025-06-09 14:57:35,0.019575214
